"Stock","yr","ct","bt"
"Spr_BS",1995,23264,201475
"Spr_BS",1996,29599,228150
"Spr_BS",1997,28463,246991
"Spr_BS",1998,39617,294985
"Spr_BS",1999,40249,398150
"Spr_BS",2000,47994,600640
"Spr_BS",2001,63587,657154
"Spr_BS",2002,71944,566423
"Spr_BS",2003,47971,422761
"Spr_BS",2004,39481,360116
"Spr_BS",2005,46604,355670
"Spr_BS",2006,39923,407781
"Spr_BS",2007,38778,539765
"Spr_BS",2008,72766,641687
"Spr_BS",2009,91375,648497
"Spr_BS",2010,91594,439007
"Spr_BS",2011,120708,409414
"Spr_BS",2012,35025,388721
"Spr_BS",2013,27355,339537
"Spr_BS",2014,58380,429725
"Tur_BS",1950,3932,16757
"Tur_BS",1951,4741,16505
"Tur_BS",1952,5217,15621
"Tur_BS",1953,4985,14490
"Tur_BS",1954,4505,13512
"Tur_BS",1955,3678,12726
"Tur_BS",1956,3623,12212
"Tur_BS",1957,3017,11917
"Tur_BS",1958,4289,12038
"Tur_BS",1959,4653,11699
"Tur_BS",1960,2680,11187
"Tur_BS",1961,3058,11086
"Tur_BS",1962,2904,11042
"Tur_BS",1963,3812,11040
"Tur_BS",1964,3666,10613
"Tur_BS",1965,3063,10545
"Tur_BS",1966,3093,10832
"Tur_BS",1967,2709,11298
"Tur_BS",1968,2931,11842
"Tur_BS",1969,3076,12190
"Tur_BS",1970,5273,12115
"Tur_BS",1971,3052,11015
"Tur_BS",1972,3049,10405
"Tur_BS",1973,3705,9759
"Tur_BS",1974,1696,9388
"Tur_BS",1975,1273,10169
"Tur_BS",1976,1584,11636
"Tur_BS",1977,2012,13090
"Tur_BS",1978,2160,14223
"Tur_BS",1979,5447,14638
"Tur_BS",1980,2843,13499
"Tur_BS",1981,3276,12356
"Tur_BS",1982,4662,10776
"Tur_BS",1983,5307,8626
"Tur_BS",1984,2852,6323
"Tur_BS",1985,527,5027
"Tur_BS",1986,428,4723
"Tur_BS",1987,849,4681
"Tur_BS",1988,1116,4292
"Tur_BS",1989,1460,4068
"Tur_BS",1990,1393,3540
"Tur_BS",1991,935,3693
"Tur_BS",1992,439,5534
"Tur_BS",1993,1603,5784
"Tur_BS",1994,2144,6340
"Tur_BS",1995,2943,6642
"Tur_BS",1996,2048,6335
"Tur_BS",1997,1025,5899
"Tur_BS",1998,1588,6267
"Tur_BS",1999,1953,6169
"Tur_BS",2000,2789,5419
"Tur_BS",2001,2557,4794
"Tur_BS",2002,1567,4328
